Title,Category,Body,Keywords,,,,,,,,,
HHW (liquids - not Orange Drop items) 2,HHW,"<ul><li>This item is&nbsp;<a href=""https://www.toronto.ca/services-payments/recycling-organics-garbage/household-hazardous-waste/"" target=""_self"">Household Hazardous Waste (HHW)</a> and MUST NOT be placed in your Garbage Bin", Blue Bin," Green Bin or put down the drain/toilet/sewer.</li><li>Please take this item to one of the City's <a href=""http://www.toronto.ca/garbage/depots.htm"" target=""_blank"" rel=""noopener"">Drop-Off Depots</a>&nbsp;or <a href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank"" rel=""noopener""> Community Environment Days</a>.</li><li>For HHW between 10 to 50 litres/kilograms"," residents can also request a free Toxic Taxi pick-up <a href=""https://secure.toronto.ca/webwizard/html/household_hazardous_waste.htm"">online</a> or by calling 311.</li></ul>","lube, WD40, bleach, Javex, Clorox, Ajax, whitener, photographic chemicals, pool chemical, algaecide, pH buffer, flea powder, pet powder, citronella oil, hair dye, hair colour, perm solution, nail polish remover, lacquer, baby oil, hand sanitizer, sunscreen, sun tan lotion, sunblock,  lotion, moisturizer, cream, shampoo, conditioner, perfume, cologne, eau de toilette, hydrochloric acid ",,,,,,
HHW (medication and sharps) 1,HHW,"<ul><li>This item is&nbsp;<a href=""https://www.toronto.ca/services-payments/recycling-organics-garbage/household-hazardous-waste/"" target=""_self"">Household Hazardous Waste</a>&nbsp;and MUST NOT be placed in your Garbage Bin", Blue Bin," Green Bin or put down the drain.</li><li>Put these items in a sealed container labeled ""needles"" and:<ul><li>Return them to your local pharmacy</li><li>Take them to a City&nbsp;<a href=""https://www.toronto.ca/services-payments/recycling-organics-garbage/drop-off-depots/"" target=""_blank"" rel=""noopener"">Drop-Off Depot</a></li><li>Take them to a&nbsp;<a href=""https://www.toronto.ca/services-payments/recycling-organics-garbage/community-environment-days/"" target=""_blank"" rel=""noopener"">Community Environment Day</a></li></ul></li><li>For HHW between 10 to 50 litres/kilograms"," residents can also request a free Toxic Taxi pick-up <a href=""https://secure.toronto.ca/webwizard/html/household_hazardous_waste.htm"" target=""_blank"" rel=""noopener"">online</a><span style=""font-family: 'Helvetica Neue'", Helvetica, Arial," sans-serif;"">&nbsp;</span><span style=""font-family: 'Helvetica Neue'", Helvetica, Arial," sans-serif;"">or by calling 311.</span></li></ul>","pharmaceuticals, medicines, pills, drugs, prescriptions, over the counter, over-the-counter, medication, rubbing alcohol, needles, biohazardous, hypodermic, sharps, lancets, syringes, vitamins, supplements, inhalers (full or partially full), puffers (full or partially full), Ventolin (full or partially full), medical injectors"
HHW (medication and sharps) 2,HHW,"<ul><li>This item is&nbsp;<a href=""https://www.toronto.ca/services-payments/recycling-organics-garbage/household-hazardous-waste/"" target=""_self"">Household Hazardous Waste</a>&nbsp;and MUST NOT be placed in your Garbage Bin", Blue Bin," Green Bin or put down the drain.</li><li>Put these items in a sealed container labeled ""needles"" and:<ul><li>Return them to your local pharmacy</li><li>Take them to a City&nbsp;<a href=""https://www.toronto.ca/services-payments/recycling-organics-garbage/drop-off-depots/"" target=""_blank"" rel=""noopener"">Drop-Off Depot</a></li><li>Take them to a&nbsp;<a href=""https://www.toronto.ca/services-payments/recycling-organics-garbage/community-environment-days/"" target=""_blank"" rel=""noopener"">Community Environment Day</a></li></ul></li><li>For HHW between 10 to 50 litres/kilograms"," residents can also request a free Toxic Taxi pick-up <a href=""https://secure.toronto.ca/webwizard/html/household_hazardous_waste.htm"" target=""_blank"" rel=""noopener"">online</a><span style=""font-family: 'Helvetica Neue'", Helvetica, Arial," sans-serif;"">&nbsp;</span><span style=""font-family: 'Helvetica Neue'", Helvetica, Arial," sans-serif;"">or by calling 311.</span></li></ul>","insulin pens, epinephrine auto injectors, epipen, insulin pen, medical injector, injector, pre-filled pen, pre filled pen"
HHW (Orange Drop items) 1,HHW,"<ul><li>This item is&nbsp;<a href=""https://www.toronto.ca/services-payments/recycling-organics-garbage/household-hazardous-waste/"" target=""_self"">Household Hazardous Waste (HHW)</a> and MUST NOT be placed in your Garbage Bin", Blue Bin," Green Bin or put down the drain/toilet/sewer.</li><li>Please take this item to one of the City's&nbsp;<a href=""http://www.toronto.ca/garbage/depots.htm"" target=""_blank"" rel=""noopener"">Drop-Off Depots</a>&nbsp;or <a href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank"" rel=""noopener""> Community Environment Days</a>.</li><li>For HHW between 10 to 50 litres/kilograms"," residents can also request a free Toxic Taxi pick-up <a href=""https://secure.toronto.ca/webwizard/html/household_hazardous_waste.htm"">online</a> or by calling 311. Residents can also check the <a href=""http://www.makethedrop.ca."" target=""_blank"" rel=""noopener"">Orange Drop Program</a>.</li></ul>","solvent, degreaser, chemical, paint thinner, paint stripper, naphtha, denatured alcohol, mineral spirits, turpentine, lacquer thinner, chian turpentine, spirit of turpentine, oil of turpentine, wood turpentine, gum turpentine, vehicle engine antifreeze",,,,,,
HHW (Orange Drop items) 2,HHW,"<ul><li>This item is&nbsp;<a href=""https://www.toronto.ca/services-payments/recycling-organics-garbage/household-hazardous-waste/"" target=""_self"">Household Hazardous Waste (HHW)</a>&nbsp;and MUST NOT be placed in your Garbage Bin", Blue Bin," Green Bin or put down the drain/toilet/sewer.</li><li>Please take this item to one of the City's&nbsp;<a href=""http://www.toronto.ca/garbage/depots.htm"" target=""_blank"" rel=""noopener"">Drop-Off Depots</a>&nbsp;or&nbsp;<a href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank"" rel=""noopener"">Community Environment Days</a>.</li><li>For HHW between 10 to 50 litres/kilograms"," residents can also request a free Toxic Taxi pick-up&nbsp;<a href=""https://secure.toronto.ca/webwizard/html/household_hazardous_waste.htm"">online</a>&nbsp;or by calling 311. Residents can also check the&nbsp;<a href=""http://www.makethedrop.ca."" target=""_blank"" rel=""noopener"">Orange Drop Program</a>.</li></ul>","vehicle engine coolant, ethylene glycol, propylene glycol, oil filter, diesel fuel filter, household furnace fuel filter, coolant filter, fuel, diesel, coal, coal oil, kerosene, canned heat, sterno, fondue fuel, alcohol, petroleum, lighter fluid, camp fuel, white gas, camp fuel, lamp oil, gas, gasoline, paraffin oil, motor oil, motor oil jug, motor oil bottle, motor oil container",,,,,,
HHW (paint) 1,HHW,"<ul><li>Paint is&nbsp;<a href=""https://www.toronto.ca/services-payments/recycling-organics-garbage/household-hazardous-waste/"">Household Hazardous Waste (HHW)</a>&nbsp;and MUST NOT be placed in your Garbage Bin", Blue Bin," Green Bin or put down the drain/toilet/sewer.</li><li>Please take this item to one of the City's <a href=""http://www.toronto.ca/garbage/depots.htm"" target=""_blank"" rel=""noopener"">Drop-Off Depots</a>&nbsp;or <a href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank"" rel=""noopener""> Community Environment Days</a>.</li><li>For HHW between 10 to 50 litres/kilograms (approximately 3 to 14 cans of paint)"," residents can also request a free Toxic Taxi pick-up <a href=""https://secure.toronto.ca/webwizard/html/household_hazardous_waste.htm"">online</a> or by calling 311.</li><li>Residents can also check <a href=""http://www.regeneration.ca/programs/paint/ontario/""> Ontario Paint Recycle Program</a> for additional collection sites.</li></ul>","paint, oil paint, latex paint, primer, undercoat, acrylic paint, water-based paint, alkyd paint, enamel, oil-based paint, deck coating, floor paint, stain blocking paint, textured paint, concrete paint, masonry paint, drywall paint, marine paint, stain",,,,,,
HHW (paint) 2,HHW,"<ul><li>Paint is&nbsp;<a href=""https://www.toronto.ca/services-payments/recycling-organics-garbage/household-hazardous-waste/"" target=""_self"">Household Hazardous Waste (HHW)</a>&nbsp;and MUST NOT be placed in your Garbage Bin", Blue Bin," Green Bin or put down the drain/toilet/sewer.</li><li>Please take this item to one of the City's&nbsp;<a href=""http://www.toronto.ca/garbage/depots.htm"" target=""_blank"" rel=""noopener"">Drop-Off Depots</a>&nbsp;or&nbsp;<a href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank"" rel=""noopener"">Community Environment Days</a>.</li><li>For HHW between 10 to 50 litres/kilograms (approximately 3 to 14 cans of paint)"," residents can also request a free Toxic Taxi pick-up&nbsp;<a href=""https://secure.toronto.ca/webwizard/html/household_hazardous_waste.htm"">online</a>&nbsp;or by calling 311.</li><li>Residents can also check&nbsp;<a href=""http://www.regeneration.ca/programs/paint/ontario/"">Ontario Paint Recycle Program</a>&nbsp;for additional collection sites.</li></ul>","wood finishing oil, shellac, varnish, urethane, block filler, roof sealer, driveway sealer, foundation sealer, paint aerosol, spray paint, aerosol can (full or partially full), sealant",,,,,,
HHW (pressurized gas cylinders - Orange Drop items),HHW,"<ul><li>This item is&nbsp;<a href=""https://www.toronto.ca/services-payments/recycling-organics-garbage/household-hazardous-waste/"" target=""_self"">Household Hazardous Waste (HHW)</a>&nbsp;and MUST NOT be placed in your Garbage Bin", Blue Bin," Green Bin or put down the drain/toilet/sewer.</li><li>Please take this item to one of the City's&nbsp;<a href=""http://www.toronto.ca/garbage/depots.htm"" target=""_blank"" rel=""noopener"">Drop-Off Depots</a>&nbsp;or&nbsp;<a href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank"" rel=""noopener"">Community Environment Days</a>.</li><li>For HHW between 10 to 50 litres/kilograms (approximately 3 to 14 cans of paint)"," residents can also request a free Toxic Taxi pick-up&nbsp;<a href=""https://secure.toronto.ca/webwizard/html/household_hazardous_waste.htm"">online</a>&nbsp;or by calling 311.</li><li>Residents can also check&nbsp;<a href=""http://www.regeneration.ca/programs/paint/ontario/"">Ontario Paint Recycle Program</a>&nbsp;for additional collection sites.</li></ul>","barbeque propane cylinder, BBQ tank, propane tank, propane cylinder, helium tank, helium cylinder, oxygen tank, oxygen cylinder, CO2 tank, butane gas tank, compressed gas tank, pressurized gas cyclinder",,,,,,
HHW (solids - not Orange Drop items) 1,HHW,"<ul><li>This item is&nbsp;<a href=""https://www.toronto.ca/services-payments/recycling-organics-garbage/household-hazardous-waste/"" target=""_self"">Household Hazardous Waste (HHW)</a> and MUST NOT be placed in your Garbage Bin"," Blue Bin or Green Bin.</li><li>Please take this item to one of the City's <a href=""http://www.toronto.ca/garbage/depots.htm"" target=""_blank"" rel=""noopener"">Drop-Off Depots</a>&nbsp;or <a href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank"" rel=""noopener""> Community Environment Days</a>.</li><li>For HHW between 10 to 50 litres/kilograms"," residents can also request a free Toxic Taxi pick-up <a href=""https://secure.toronto.ca/webwizard/html/household_hazardous_waste.htm"">online</a> or by calling 311.</li></ul>","caulking, sealant, automotive grease, car wax, vehicle battery, B8 car battery, automobile battery, motorcycle battery, fire extinguisher, mercury thermometer",,,,,,,
HHW (solids - not Orange Drop items) 2,HHW,"<ul><li>This item is&nbsp;<a href=""https://www.toronto.ca/services-payments/recycling-organics-garbage/household-hazardous-waste/"" target=""_self"">Household Hazardous Waste (HHW)</a> and MUST NOT be placed in your Garbage Bin"," Blue Bin or Green Bin.</li><li>Please take this item to one of the City's <a href=""http://www.toronto.ca/garbage/depots.htm"" target=""_blank"" rel=""noopener"">Drop-Off Depots</a>&nbsp;or <a href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank"" rel=""noopener""> Community Environment Days</a>.</li><li>For HHW between 10 to 50 litres/kilograms"," residents can also request a free Toxic Taxi pick-up <a href=""https://secure.toronto.ca/webwizard/html/household_hazardous_waste.htm"">online</a> or by calling 311.</li></ul>"," mercury thermostat, mercury switch, vacuum tube, bear spray, rat poison, mouse poison, gel pack, ice pack, gel ice pack, hot pack, cold pack, hot cold pack, cosmetics, nail polish, shoe polish, shoe cream, shoe paste, roofing tar, eye make-up, mascara, blush, foundation, lipstick, Wite-out, liquid paper",,,,,,,
Marijuana,Yard Waste,<ul><li>Dispose excess cannabis and plants as Yard Waste.</li><li>Place in Garbage Bin when Yard Waste collection is not available.</li></ul>,"marijuana, cannabis, sativa, indicia, weed (cannabis) , hemp, hash, joint (cannabis), reefer, ganja, herb (cannabis), hashish",,,,,,,,,
Metal Items (BBQ),Metal Items,"<p>Please place your BBQ 0.5 metre (2 feet) away from your Garbage Bin on your scheduled Garbage Bin collection day. Please remove the propane tank and briquettes. The briquettes are considered garbage and should be placed in your Garbage Bin ensuring the lid closes or in a garbage bag (weighing less than 20 kgs/44 lbs) affixed with a City-issued garbage bag tag. The propane tank is Household Hazardous Waste (HHW) and can either be refilled or taken to <a href=""http://www.toronto.ca/garbage/depots.htm"" target=""_blank"" rel=""noopener"">Recycling and Solid Waste Depots</a> or your local <a href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank"" rel=""noopener"">Community Environment Day</a>.</p>","barbeque, BBQ, BBQ grill, barbecue",,,,,,,,,
Metal Items (bike),Metal Items,"<ul><li>Please consider donating bikes or bike parts to <a href=""https://www.toronto.ca/reduce-reuse/"" target=""_blank"" rel=""noopener""> not-for-profit agencies</a>.</li><li>Alternatively", you may place the bike 0.5 metre (2 feet) away from your Garbage Bin on your scheduled Garbage Bin collection day.</li><li>Please remove the seat and tires from your bicycle and place those items in your Garbage Bin.</li></ul>,"bike, bicycle, tricycle",,,,,,,,
Metal Items (drain gas/oil),Metal Items,<ul><li>These metal items are now collected right at your curbside on your scheduled Garbage Bin collection day.</li><li>Please drain all gasoline and oil and remove cords before setting the item out for pick up 0.5 metre (2 feet) away from your Garbage Bin.</li></ul>,"snowblower, snow blower, lawnmower (gas, electric or push), lawn mower, oil filled heater, radiator, electric radiator, oil-filled radiator, oil tank (empty)",,,,,,,,,
Metal Items (indoor),Metal Items,<ul><li>These metal items are now collected right at your curbside on your scheduled Garbage Bin collection day.</li><li>Please break down, bundle and/or tie if applicable.</li><li>Please set out these items for pick up 0.5 metre (2 feet) away from your Garbage Bin.</li></ul>,"metal chair, metal table, metal bed frame, bed spring, microwave oven, metal fan, exercise machine, treadmill, stationary bike, rowing machine, ironing board, metal coat rack, filing cabinet, metal sink, cast iron sink, bathtub (metal), air conditioner, metal vanity, metal fireplace, fireplace grate, metal fireplace screen, wood burning stove",,,,,,,,
Metal Items (metal plumbing fixtures/pipes),Metal Items,These metal items are now collected right at your curbside on your scheduled Garbage Bin collection day. Please break down, bundle and/or tie where possible before setting the item out for pick up 0.5 metre (2 feet) away from your Garbage Bin.,"metal plumbing fixture, metal tap, metal pipe, showerhead, shower head, copper pipe, faucet, metal stake, scrap metal, wire fence, chicken wire, metal furnace, hot water tank (empty), water heater, baseboard heater, pump, water pump, sewer pump, sump pump, laundry pump, heat pump, exchanger, compressor",,,,,,,,
Metal Items (outdoor),Metal Items,<p>These metal items are now collected right at your curbside on your scheduled Garbage Bin collection day. Please break down, bundle and/or tie if applicable. Please set out these items for pick up 0.5 metre (2 feet) away from your Garbage Bin.</p>,"metal wheelbarrow, metal drum, metal barrel, metal shed (dismantled), metal swing set, metal hockey net frame, metal mailbox",,,,,,,,
Metal Items (remove doors from appliances),Metal Items,Please place large metal household appliance right at your curbside on your scheduled Garbage Bin collection day. For safety reasons, please remove doors from fridges, freezers, ovens and other large appliances. Please set out appliance and door(s) for pick up 0.5 metre (2 feet) away from your Garbage Bin.,"refrigerator, fridge, bar fridge, large metal household appliance, metal residential bar, stove, oven, range, cooker, cooktop, washing machine, washer, dryer, drier, clothes dryer, dishwasher, freezer, deep-freeze, freezer locker, frozen food locker",,,,,,
Metal Items (shovel),Metal Items,If possible, please remove handle from shovel blade. Please set out the shovel for pick up 0.5 metre (2 feet) away from your Garbage Bin on your scheduled Garbage Bin collection day.,"metal shovel, metal snow shovel",,,,,,,,
Metal Items (smaller metal items),Metal Items,<ul>  <li>These metal items are collected at your curbside on your scheduled Garbage Bin collection day.</li>  <li>Break down, bundle and/or tie if applicable before setting the item out for pick up 0.5 metre (2 feet) away from your Garbage Bin.</li> </ul>,"hot plate, motor (small), furnace motor, metal range hood, metal exhaust hood, metal tire rim, dehumidifier, humidifier, electronic air cleaner, rototiller, metal safe, metal satellite dish, antenna tower, metal weight, metal cooler, steel bracket",,,,,,,,
Not Accepted (Contact Manufacturer),Not Accepted,<p>Please DO NOT place this item in the Garbage, Green Bin or Blue Bin and DO NOT bring this item to Solid Waste Drop-Off Depots. Please contact the manufacturer for proper disposal instructions.</p>,"fireworks (unused), firecrackers (unused), pyrotechnics, rockets, sparklers, illuminations, road flares, flares, ammunition, shrapnel, bullets,bullet shells, projectiles, scuba dive tanks, cellulose nitrate films, large ornament shells",,,,,,,,
Not Accepted (election sign),Depot,"<ul><li><span style=""font-size: 13.5pt; font-family: 'Helvetica'","sans-serif; mso-fareast-language: EN-CA;"">The candidate who provided you with the sign should pick it up. Please contact the candidate if it's not collected. </span></li><li><span style=""font-size: 13.5pt; font-family: 'Helvetica'","sans-serif; mso-fareast-font-family: Calibri; mso-fareast-theme-font: minor-latin; mso-ansi-language: EN-CA; mso-fareast-language: EN-CA; mso-bidi-language: AR-SA;"">Signs can be brought to select City <a href=""https://www.toronto.ca/services-payments/recycling-organics-garbage/drop-off-depots/locations/"">Drop-Off Depots</a> for recycling for a limited time after elections. Do not place in Blue Bin.</span></li></ul>",election sign,,,,,,,
Not Accepted (Grass),Not Accepted,Please leave your grass clippings on your lawn. Yard waste containing grass clippings or sod will not be picked up.,"grass clippings, thatch",,,,,,,,,
Not Accepted (Large Dead Animal),Not Accepted,<p>If you find an injured or dead animal," please call 311. The City of Toronto's Animal Services can also assist with pets that have passed away. For more information please see <a href=""https://www.toronto.ca/community-people/animals-pets/enforcement-assistance/"" target=""_blank"" rel=""noopener"">Animal services</a>.</p>","dead animal (large), carcass, corpse, remains, dead raccoon",,,,,,,,
Not Accepted (Private Sector - landscaping/reno waste),Not Accepted,<p>This type of waste is not collected at the curbside or through other City of Toronto programs. Please make arrangements with a company in the private sector specializing in disposing of this type of waste.</p>,"dirt, sod, fill, grass, sand, soil, rocks, gravel, patio stones, paving stones, cement, grout, cement powder, stucco, mortar, clay pipe, marble slab, asphalt, cinder block, concrete pieces, concrete block, concrete sink, concrete tub, concrete laundry tub, pool heater, pool pump, hot tubs",,,,,,,,,
Not Accepted (Private Sector - miscellaneous),Not Accepted,<p>This type of waste is not collected at the curbside or through other City of Toronto programs. Please make arrangements with a company in the private sector specializing in disposing of this type of waste.</p>,"bricks, asbestos, PCBs, polychlorinated biphenyls, telephone pole, tent trailer, vending machine, welding tank, diving board, pool table, billiard table, snooker table, cue table, piano, organ, oil tank (full or partially full), vehicle tank (full or empty), gas tank (full or empty), diesel tank (full or empty), vehicle propane tank (full or empty)",,,,,,,,,
Not Accepted (Private Sector - transportation-related),Not Accepted,This type of waste is not collected at the curbside or through other City of Toronto programs. Please make arrangements with a company in the private sector specializing in disposing of this type of waste.,"boat, motorized personal transporter, sea-doo, ski-doo, jet ski, snowmobile, motorcycle, scooter, ebike, electric bike, segway, golf cart, plastic car parts, pickup truck cabs, truck cabs, truck caps, truck toppers",,,,,,,,,
"Not Accepted (Private Sector - trees, stumps)",Not Accepted,Tree limbs," trunks and stumps are not collected or accepted at the City's <a href=""http://www.toronto.ca/garbage/depots.htm"" target=""_blank"">Recycling and Solid Waste Depots</a> if the diameter of the wood exceeds 7.5 cm (3 inches). If items exceed this size", please make arrangements with a private company specializing in handling this type of waste.,"tree stump, large branch, tree, tree trunk",,,,,,,
Oversize (flooring & carpeting),Oversize,Items that would never fit in your Garbage Bin, when empty, are considered oversize and collected curbside. Please place items 0.5 metre (2 feet) away from your Garbage Bin on your scheduled garbage collection day for free pick-up. Garbage bag tags are not required. Please tie carpeting, underpads and linoleum in rolls measuring no longer than 1.2 metres (4 ft) and weighing less than 20 kilograms (44 lbs).,"linoleum flooring, rug, mat, rubber mat, carpet, carpet underlay, undercarpeting, underpadding",,,,,,
"Oversize (furniture, mattress - bed bug guidelines) 2",Oversize,<ul><li>Items that would never fit in your Garbage Bin, when empty, are considered oversize and collected curbside.</li><li>Place this item 0.5 metre (2 feet) away from your Garbage Bin on your scheduled garbage collection day.</li><li>For proper set out procedures for items containing bed bugs," refer to the following link <a href=""https://www.toronto.ca/community-people/health-wellness-care/health-programs-advice/bed-bugs/"" target=""_blank"" rel=""noopener"">Bed Bug Guidelines</a>.</li></ul>","bean bag chair, beanbag chair, dresser, desk, bureau, bureaux, table, glass table, crib, stroller, baby stroller, baby carriage, pram, child seat, baby car seat, booster seat",,,,,,
"Oversize (furniture,mattress-bed bug guidelines) 1",Oversize,<ul><li>Items that would never fit in your Garbage Bin, when empty, are considered oversize and collected curbside.</li><li>Place this item 0.5 metre (2 feet) away from your Garbage Bin on your scheduled garbage collection day.</li><li>For proper set out procedures for items containing bed bugs," refer to the following link <a href=""https://www.toronto.ca/community-people/health-wellness-care/health-programs-advice/bed-bugs/"" target=""_blank"" rel=""noopener"">Bed Bug Guidelines</a>.</li></ul>","home furnishings, furniture, bench, stool, wicker furniture, bed frame, mattress, box spring, sofa bed mattress, sofa, couch, Chesterfield, trunk, chest, recliner, wooden chair, plastic chair, armchair, La-Z-Boy recliner, Lazy Boy",,,,,,
Oversize (futon),Oversize,<p>Items that would never fit in your Garbage Bin, when empty, are considered oversize and collected curbside. Please roll and tie the futon or foam mattress topper and place it 0.5 metre (2 feet) away from your Garbage Please roll and tie the futon. Bin on your scheduled garbage collection day for free pick-up. Bag tags are not required. Please roll and tie the futon.For proper set out procedures for items containing bed bugs," refer to the following link <a href=""https://www.toronto.ca/community-people/health-wellness-care/health-programs-advice/bed-bugs/"" target=""_blank"" rel=""noopener"">Bed Bug Guidelines</a>.</p>","futon, foam mattress topper",,,,,,
Oversize (home items),Oversize,Items that would never fit in your Garbage Bin, when empty, are considered oversize and collected curbside. Please place this item 0.5 metre (2 feet) away from your Garbage Bin on your scheduled garbage collection day for free pick-up. Bag tags are not required.,"laundry basket, clothes basket, hamper, sewing machine, vacuum cleaner, carpet steamer, water softener, water softening system, plastic fan, ceiling fan",,,,,,,
Oversize (long items),Oversize,<ul>  <li>Items that would never fit in your Garbage Bin, when empty, are considered oversized and collected curbside.</li>  <li>Please place this item 0.5 metre (2 feet) away from your Garbage Bin on your scheduled garbage collection day for free pick-up.</li>  <li>Bag tags are not required</li> </ul> <p></p> <p>Basketball stand (rim and pole) - Dismantle net and base from pole and place in garbage bin (base can be left beside Garbage Bin).&nbsp; Pole can be taken to transfer station for disposal.</p>,"hockey stick, skis, downhill skis, cross country skis, snowboard, golf club, iron (golf), putter, coat rack, broom, mop, basketball stand (rim and pole), basketball hoop, basketball pole",,,,,,,
Oversize (miscellaneous),Oversize,Items that would never fit in your Garbage Bin, when empty, are considered oversize and collected curbside. Please place this item 0.5 metre (2 feet) away from your Garbage Bin on your scheduled garbage collection day for free pick-up. Bag tags are not required.,"baby gate, toddler gate, luggage, suitcase, baggage, bundle buggy, grocery cart, water cooler refrigeration base, water cooler, refrigeration base, popcorn cart, Christmas tree (artificial), Christmas tree (fake), wheelchair, ping pong table, air hockey table, plastic storage bin, storage tote, milk crate, chalk board, white board, bulletin board, workbench",,,,,,,
Oversize (outdoor),Oversize,Items that would never fit in your Garbage Bin, when empty, are considered oversize and collected curbside. Please place this item 0.5 metre (2 feet) away from your Garbage Bin on your scheduled garbage collection day for free pick-up. Bag tags are not required.,"lawn furniture, patio furniture, patio umbrella, patio table, patio chairs, plastic fence, plastic shed (dismantled), rain barrel (empty), backyard composter (empty), Earth Machine composter, ladder, step ladder, lawn roller, lawn drum, picnic table, plastic swing set, plastic slide, plastic pool slide, plastic frame hockey net, baby swing, splash pool, children's pool, plastic swimming pool, trampoline",,,,,,,
Oversize (plastic or ceramic sinks and tubs),Oversize,Items that would never fit in your Garbage Bin, when empty, are considered oversize and collected curbside. Please place this item 0.5 metre (2 feet) away from your Garbage Bin on your scheduled garbage collection day for free pick-up. Bag tags are not required.,"ceramic sink, plastic sink, porcelain sink, plastic laundry sink, plastic laundry tub",,,,,,,
Oversize (pool filter),Oversize,Please remove the sand, then place the pool filter 0.5 metre (2 feet) away from your Garbage Bin on your scheduled garbage collection day for free pick-up. Bag tags are not required for oversize items.,pool filter,,,,,,,,
Oversize (sofa bed),Oversize,<p>Please tie sofa bed frame together and place 0.5 (2 feet) away from your Garbage Bin on your scheduled garbage collection day for free pick-up. Bag tags are not required. For proper set out procedures for items containing bed bugs," please see <a href=""https://www.toronto.ca/community-people/health-wellness-care/health-programs-advice/bed-bugs/"" target=""_blank"" rel=""noopener"">Bed Bug Guidelines</a>.</p>",sofa bed,,,,,,,,
"Oversize (take apart, remove nails)",Oversize,<ul>  <li>Items that would never fit in your Garbage Bin, when empty, are considered oversize and collected curbside.</li>  <li>Place this item 0.5 metre (2 feet) away from your Garbage Bin on your scheduled garbage collection day.</li>  <li>Take apart or separate large heavy items, so that they are manageable.</li>  <li>Remove any nails and cut and tie in bundles no longer than 1.2 m (4ft.), no wider than .6 m (2ft.)&nbsp; and weighing less than 20 kg (44 lbs.)</li> </ul>,"cabinets, shelf, cubbie, wardrobe, wooden shelf, book shelf, bookshelf, shelving, wall unit, entertainment unit, hutch, china cabinet, medicine cabinet, dog house, doghouse, wine barrel, playpen, wooden swing set",,,,,
Oversize (toilet),Oversize,<ul>  <li>Items that would never fit in your Garbage Bin, when empty, are considered oversize and collected curbside.</li>  <li>Place this item 0.5 metre (2 feet) away from your Garbage Bin on your scheduled garbage collection day.</li>  <li>Note: toilet tanks must be removed from bowl except for one piece toilets.</li> </ul>,"toilet, toilet bowl, toilet tank, toilet set, one piece toilet, bidet",,,,,,,
Oversize (unwanted garbage or recycling bins/boxes),Oversize,"<ul>  <li>Unwanted garbage cans (metal or plastic) and unwanted blue/grey boxes can be set out as oversize at the curb.</li>  <li>Place sign on container indicating &quot;For Garbage Pick Up&quot; and set out on your scheduled Garbage Bin collection day (no tag required) or take to a <a href=""http://www.toronto.ca/garbage/depots.htm"" target=""_blank"">Drop-Off Depots</a>.</li>  <li>The recycling boxes will be recycled.</li> </ul>","plastic outdoor garbage can, blue box, grey box, gray box, recycling box",,,,,,,,,
Tim Horton's Take 12,Blue Bin,<ul><li>Break apart cardboard box and place in the <strong>Blue Bin.</strong></li><li>Place inner foil bag with lid in the <strong>Garbage Bin.</strong></li></ul>,Tim Horton's Take 12,,,,,,,,,
Yard Waste (Asian longhorned beetle),Yard Waste,"<ul>  <li>The City is presently under a federal order from the <a href=""http://www.inspection.gc.ca/about-the-cfia/newsroom/news-releases/2013-12-03/eng/1386096220998/1386096232915"" target=""_blank"">Canadian Food Inspection Agency (CFIA)</a> to quarantine an area in the northwest portion of the city (Finch on the north", Hwy 427 on the west," Dixon/Hwy 401 on the south and Martin Grove on the east).</li>  <li>Woody material cannot be taken out of the area unless it has been ground to less than 5/8 of an inch and has been inspected and certified by CFIA personnel.</li>  <li>Within this area City collections will be limited to material equal to or less than 7.5 centimeters (3 inches) in diameter.</li>  <li>Material greater than 7.5 centimeters (3 inches) from the ALHB regulated area will be accepted at the <a href=""http://www.toronto.ca/garbage/depots.htm"" target=""_blank"">Disco Drop-off Depot</a>. Unauthorized movement of material can lead to fines up to $50",000.</li> </ul>,"Asian longhorned beetle, invasive species, infected wood, longhorn beetle",,,,,,
Yard Waste (emerald ash borer beetle),Yard Waste,<ul>  <li>All wood waste, including that which is suffering from the emerald ash borer beetle, can be put to the curb as long as it does not exceed 7.5 cm (3 inches) in diameter.</li>  <li>Securely tie hedge trimmings, brush or branches. Bundles can be up to 1.2 m (4ft.) in length and 0.6 m (2ft.) in width, weighing less than 20 kgs/44lbs.</li>  <li>If items exceed 7.5 cm (3 inches) in diameter, please make arrangements with a private company specializing in handling this type of waste.</li> </ul>,"emerald ash borer beetle, EAB, invasive species, infected wood",,,,
